district name,district id
Adilabad,582
Agar,320
Agatti Island,796
Agra,622
Ahmedabad,154
Ahmedabad Corporation,770
Ahmednagar,391
Aizawl East,425
Aizawl West,426
Ajmer,507
Akola,364
Alappuzha,301
Aligarh,623
Alipurduar District,710
Alirajpur,357
Almora,704
Alwar,512
Ambala,193
Ambedkar Nagar,625
Amethi,626
Amravati,366
Amreli,174
Amritsar,485
Amroha,627
Anand,179
Anantapur,9
Anantnag,224
Angul,445
Anjaw,22
Anuppur,334
Aranthangi,779
Araria,74
Aravalli,158
Ariyalur,555
Arwal,78
Ashoknagar,354
Attur,578
Auraiya,628
Aurangabad,77
Aurangabad ,397
Ayodhya,646
Azamgarh,629
BBMP,294
Badaun,630
Bagalkot,270
Bageshwar,707
Baghpat,631
Bahraich,632
Baksa,46
Balaghat,338
Balangir,448
Balarampur,633
Balasore,447
Ballia,634
Balod,110
Baloda bazar,111
Balrampur,112
Banaskantha,159
Banda,635
Bandipore,223
Bangalore Rural,276
Bangalore Urban,265
Banka,83
Bankura,711
Banswara,519
Barabanki,636
Baramulla,225
Baran,516
Bareilly,637
Bargarh,472
Barmer,528
Barnala,483
Barpeta,47
Barwani,343
Basirhat HD (North 24 Parganas),712
Bastar,113
Basti,638
Bathinda,493
Beed,384
Begusarai,98
Belgaum,264
Bellary,274
Bemetara,114
Betul,362
Bhadohi,687
Bhadradri Kothagudem,583
Bhadrak,454
Bhagalpur,82
Bhandara,370
Bharatpur,508
Bharuch,180
Bhavnagar,175
Bhavnagar Corporation,771
Bhilwara,523
Bhind,351
Bhiwani,200
Bhojpur,99
Bhopal,312
Bidar,272
Bijapur,115
Bijnour,639
Bikaner,501
Bilaspur,116
Bilaspur,219
Birbhum,713
Bishnupur,398
Bishnupur HD (Bankura),714
Biswanath,765
Bokaro,242
Bongaigaon,57
Botad,176
Boudh,468
Budgam,229
Bulandshahr,640
Buldhana,367
Bundi,514
Burhanpur,342
Buxar,100
COOCHBEHAR,783
Cachar,66
Central Delhi,141
Chamarajanagar,271
Chamba,791
Chamba,214
Chamoli,699
Champawat,708
Champhai,429
Chandauli,641
Chandel,399
Chandigarh,108
Chandrapur,380
Changlang,20
Charaideo,766
Charkhi Dadri,201
Chatra,245
Chengalpet,565
Chennai,571
Cheyyar,778
Chhatarpur,328
Chhindwara,337
Chhotaudepur,181
Chikamagalur,273
Chikkaballapur,291
Chirang,58
Chitradurga,268
Chitrakoot,642
Chittoor,10
Chittorgarh,521
Churachandpur,400
Churu,530
Coimbatore,539
Cooch Behar,715
Cuddalore,547
Cuttack,457
Dadra and Nagar Haveli,137
Dahod,182
Dakshin Dinajpur,716
Dakshina Kannada,269
Daman,138
Damoh,327
Dang,163
Dantewada,117
Darbhanga,94
Darjeeling,717
Darrang,48
Datia,350
Dausa,511
Davanagere,275
Dehradun,697
Deogarh,473
Deoghar,253
Deoria,643
Devbhumi Dwaraka,168
Dewas,324
Dhalai,614
Dhamtari,118
Dhanbad,257
Dhar,341
Dharmapuri,566
Dharwad,278
Dhemaji,62
Dhenkanal,458
Dholpur,524
Dhubri,59
Dhule,388
Diamond Harbor HD (S 24 Parganas),718
Dibang Valley,25
Dibrugarh,43
Dima Hasao,67
Dimapur,434
Dindigul,556
Dindori,336
Diu,139
Doda,232
Dumka,258
Dungarpur,520
Durg,119
East Bardhaman,719
East Champaran,105
East Delhi,145
East Garo Hills,424
East Godavari,11
East Jaintia Hills,418
East Kameng,23
East Khasi Hills,414
East Siang,42
East Sikkim,535
East Singhbhum,247
Ernakulam,307
Erode,563
Etah,644
Etawah,645
Faridabad,199
Faridkot,499
Farrukhabad,647
Fatehabad,196
Fatehgarh Sahib,484
Fatehpur,648
Fazilka,487
Ferozpur,480
Firozabad,649
Gadag,280
Gadchiroli,379
Gajapati,467
Ganderbal,228
Gandhinagar,153
Gandhinagar Corporation,772
Ganjam,449
Garhwa,243
Gariaband,120
Gaurela Pendra Marwahi ,136
Gautam Buddha Nagar,650
Gaya,79
Ghaziabad,651
Ghazipur,652
Gir Somnath,177
Giridih,256
Goalpara,60
Godda,262
Golaghat,53
Gomati,615
Gonda,653
Gondia,378
Gopalganj,104
Gorakhpur,654
Gulbarga,267
Gumla,251
Guna,348
Guntur,5
Gurdaspur,489
Gurgaon,188
Gwalior,313
Hailakandi,68
Hamirpur,655
Hamirpur,217
Hanumangarh,517
Hapur,656
Harda,361
Hardoi,657
Haridwar,702
